name,free_games
"Magika Land of Fantasy",1
"Relic Raiders",1
"Floor By Floor",1
"Fun Hospital",1
AeroChopper,1
"DeoVR Video Player",1
"The Front of Greed",1
"Sheep Game",1
"Forest Below",1
JumpStream,1
"Cursed Town",1
"Danger Room VR",1
"270 | Two Seventy US Election",1
"Expedia Cenote VR",1
"Rocket Valley Tycoon",1
"Tap Cats: Battle Arena",1
"つんつんVR / TSUN-TSUN VR",1
噬元之主,1
"Chicken Rider",1
"The King's Request: Physiology and Anatomy Revision Game",1
"Dinosaur Hunt Puzzle",1
"BRANE™: Prototype",1
"Welcome To... Chichester 0 - Preview",1
"Dot to Dot Puzzles",1
"Mecha-Tokyo Rush",1
"Half-Life Deathmatch: Source",1
"Peggle Extreme",1
"EVE Online",1
"Grand Theft Auto 2",1
BRINK,1
RIFT,1
"Sonic Generations Collection",1
Neverwinter,1
"Geneforge 4: Rebellion",1
"Avernum 4",1
"RaceRoom Racing Experience",1
"Gear Up",1
"The Banner Saga: Factions",1
"No More Room in Hell",1
"Akaneiro: Demon Hunters",1
"War Thunder",1
SNOW,1
"WWII Online",1
"Just Cause 2: Multiplayer Mod",1
"Narcissu 1st & 2nd",1
"Aura Kingdom",1
Creativerse,1
Glitchspace,1
"Guns and Robots",1
"The Desolate Hope",1
Robocraft,1
"FIST OF AWESOME",1
"Wild Warfare",1
"Age of Conquest IV",1
"Shroud of the Avatar: Forsaken Virtues",1
"Heavy Metal Machines",1
Zero-K,1
HIT,1
Strife®,1
"Among Ripples",1
"InMind VR",1
"BrainBread 2",1
UFHO2,1
"Rustbucket Rumble",1
"Subspace Continuum",1
"Leadwerks Game Launcher",1
"Return NULL - Episode 1",1
"Ultimate Tic-Tac-Toe",1
"One Manga Day",1
"Jigoku Kisetsukan: Sense of the Seasons",1
Advent,1
Ryzom,1
"Otherland MMO",1
"Alteil: Horizons",1
Mindshow,1
"Radiator 2: Anniversary Edition",1
"Affected Zone Tactics",1
"Mitos.is: The Game",1
WARMODE,1
RoShamBo,1
"Anarchy Online",1
"Woof Blaster",1
Hypatia,1
Relive,1
"ePic Character Generator",1
"Master of Orion 2",1
GASP,1
"Your Quest",1
Mistfal,1
"Emmerholt: Prologue",1
"Take the Dream IX",1
"Diorama No.1 : Blocked In",1
"Abbot's Book Demo",1
"The Panic Room",1
"Blossoms Bloom Brightest",1
"Legends of Callasia",1
Pointless,1
SpellKnights,1
"Skeet: VR Target Shooting",1
"About Elise",1
"Atulos Online",1
"The Body VR: Journey Inside a Cell",1
"Boundel: The Second Era",1
"Atlas Reactor VR Character Viewer",1
"ABE VR",1
"One Dark Night",1
"Legionwood 1: Tale of the Two Swords",1
"Super Blue Fighter",1
"Twisted Worlds",1
Stash,1
"Blind Trust",1
Antiflux,1
"The Abbey of Crime Extensum",1
"Mansions of Madness",1
"Ball 3D: Soccer Online",1
"Astral Heroes",1
"Project Syria",1
"VR Battle Grid",1
"Building the Great Wall of China 2",1
"Ortus Arena, strategy board game online, FOR FREE",1
"Acan's Call: Act 1",1
"Gangs of Space",1
"Aussie Sports VR 2016",1
"The End o,,,o",1
"The Sun Will Rise",1
"Path of War",1
"CRAPPY ZOMBIE GAME",1
"The Journey Home",1
"You Have 10 Seconds 2",1
"Honey Rose: Underdog Fighter Extraordinaire",1
"Six Feet Under",1
"Geology Business",1
"The Bellows",1
Argo,1
"Non-Linear Text Quests",1
"Think To Die",1
"Crash Force®",1
"Digimon Masters Online",1
"Think To Die 2",1
"Escape the Game",1
"Pumpkin SculptrVR",1
"Children of Orc",1
"7D Game （VR for VIVE）",1
"Counter Agents",1
"Battles of the Valiant Universe CCG",1
"World of Warships",1
"拯救大魔王2 Rescue the Great Demon 2",1
"Spooky Night",1
"Goaltender VR",1
"The Price of Freedom",1
"Reaping Rewards",1
"Mobile Astro",1
"Smash Party VR",1
Dropzone,1
"Naughty Or Nice",1
"BRAIN / OUT",1
"Metal Waltz: Anime tank girls",1
"Freedom Locomotion VR",1
Shardbound,1
Capsa,1
"It Lurks in the Woods",1
"Taphouse VR",1
Sponchies,1
"Nevrosa: Prelude",1
"Belko VR: An Escape Room Experiment",1
"Connected Hearts - Visual novel",1
"Tanki X",1
"Realm Grinder",1
VRIQ,1
"Heroes of Paragon",1
"Make It Rain: Love of Money",1
Vision,1
"Amigo VR",1
"FlatOut 4: Total Insanity Workshop Tool",1
"Strata inStudio VR",1
"SoulWorker - Anime Action MMO",1
"Pixel Worlds: MMO Sandbox",1
"Rival Books of Aster",1
